Source,Target,Type,Weight
praecipuus,res,Undirected,1
praecipuus,cammer,Undirected,1
praecipuus,scriptor,Undirected,1
res,cammer,Undirected,1
res,scriptor,Undirected,1
tractatus,judicium,Undirected,2
tractatus,liber4,Undirected,1
tractatus,divido,Undirected,1
tractatus,natura,Undirected,1
tractatus,gener,Undirected,1
tractatus,processus2,Undirected,1
tractatus,iudiciarius,Undirected,1
tractatus,species,Undirected,1
tractatus,accuratus,Undirected,1
tractatus,jus,Undirected,1
judicium,liber4,Undirected,1
judicium,divido,Undirected,1
judicium,judicium,Undirected,1
judicium,natura,Undirected,2
judicium,gener,Undirected,2
judicium,processus2,Undirected,2
judicium,iudiciarius,Undirected,2
judicium,species,Undirected,2
judicium,accuratus,Undirected,2
judicium,jus,Undirected,2
judicium,civilis1,Undirected,2
liber4,divido,Undirected,1
liber4,judicium,Undirected,1
liber4,natura,Undirected,1
liber4,gener,Undirected,1
liber4,processus2,Undirected,1
liber4,iudiciarius,Undirected,1
liber4,species,Undirected,1
liber4,accuratus,Undirected,1
liber4,jus,Undirected,1
liber4,civilis1,Undirected,1
liber4,canonicus,Undirected,1
divido,judicium,Undirected,1
divido,natura,Undirected,1
divido,gener,Undirected,1
divido,processus2,Undirected,1
divido,iudiciarius,Undirected,1
divido,species,Undirected,1
divido,accuratus,Undirected,1
divido,jus,Undirected,1
divido,civilis1,Undirected,1
divido,canonicus,Undirected,1
divido,recessus2,Undirected,1
judicium,canonicus,Undirected,1
judicium,recessus2,Undirected,1
judicium,imperium,Undirected,1
natura,gener,Undirected,1
natura,processus2,Undirected,1
natura,iudiciarius,Undirected,1
natura,species,Undirected,1
natura,accuratus,Undirected,1
natura,jus,Undirected,1
natura,civilis1,Undirected,1
natura,canonicus,Undirected,1
natura,recessus2,Undirected,1
natura,imperium,Undirected,1
natura,mos,Undirected,1
gener,processus2,Undirected,1
gener,iudiciarius,Undirected,1
gener,species,Undirected,1
gener,accuratus,Undirected,1
gener,jus,Undirected,1
gener,civilis1,Undirected,1
gener,canonicus,Undirected,1
gener,recessus2,Undirected,1
gener,imperium,Undirected,1
gener,mos,Undirected,1
gener,hodiernus,Undirected,1
processus2,iudiciarius,Undirected,1
processus2,species,Undirected,1
processus2,accuratus,Undirected,1
processus2,civilis1,Undirected,1
processus2,canonicus,Undirected,1
processus2,mos,Undirected,1
processus2,hodiernus,Undirected,1
processus2,trado,Undirected,1
iudiciarius,species,Undirected,1
iudiciarius,accuratus,Undirected,1
iudiciarius,jus,Undirected,1
iudiciarius,civilis1,Undirected,1
iudiciarius,canonicus,Undirected,1
iudiciarius,recessus2,Undirected,1
iudiciarius,imperium,Undirected,1
iudiciarius,mos,Undirected,1
iudiciarius,hodiernus,Undirected,1
iudiciarius,trado,Undirected,1
iudiciarius,explico,Undirected,1
species,accuratus,Undirected,1
species,jus,Undirected,1
species,civilis1,Undirected,1
species,canonicus,Undirected,1
species,recessus2,Undirected,1
species,imperium,Undirected,1
species,mos,Undirected,1
species,hodiernus,Undirected,1
species,trado,Undirected,1
species,explico,Undirected,1
accuratus,jus,Undirected,1
accuratus,civilis1,Undirected,1
accuratus,canonicus,Undirected,1
accuratus,recessus2,Undirected,1
accuratus,imperium,Undirected,1
accuratus,mos,Undirected,1
accuratus,hodiernus,Undirected,1
accuratus,trado,Undirected,1
accuratus,explico,Undirected,1
jus,recessus2,Undirected,1
jus,imperium,Undirected,1
jus,mos,Undirected,1
jus,hodiernus,Undirected,1
jus,trado,Undirected,1
jus,explico,Undirected,1
civilis1,canonicus,Undirected,1
civilis1,recessus2,Undirected,1
civilis1,imperium,Undirected,1
civilis1,mos,Undirected,1
civilis1,hodiernus,Undirected,1
civilis1,trado,Undirected,1
civilis1,explico,Undirected,1
canonicus,recessus2,Undirected,1
canonicus,imperium,Undirected,1
canonicus,mos,Undirected,1
canonicus,hodiernus,Undirected,1
canonicus,trado,Undirected,1
canonicus,explico,Undirected,1
recessus2,mos,Undirected,1
recessus2,hodiernus,Undirected,1
recessus2,trado,Undirected,1
recessus2,explico,Undirected,1
imperium,mos,Undirected,1
imperium,hodiernus,Undirected,1
imperium,trado,Undirected,1
imperium,explico,Undirected,1
mos,hodiernus,Undirected,1
mos,trado,Undirected,1
mos,explico,Undirected,1
hodiernus,trado,Undirected,1
hodiernus,explico,Undirected,1
trado,explico,Undirected,1
obseruatio,practicus,Undirected,1
decretales,epistula,Undirected,1
decretales,addo,Undirected,1
decretales,casus1,Undirected,1
decretales,bernardus,Undirected,1
decretales,glossator,Undirected,1
decretales,index,Undirected,1
decretales,ludouicus,Undirected,1
decretales,bolognini,Undirected,1
decretales,recognitus,Undirected,1
epistula,addo,Undirected,1
epistula,casus1,Undirected,1
epistula,bernardus,Undirected,1
epistula,glossator,Undirected,1
epistula,index,Undirected,1
epistula,ludouicus,Undirected,1
epistula,bolognini,Undirected,1
epistula,recognitus,Undirected,1
addo,casus1,Undirected,1
addo,bernardus,Undirected,1
addo,glossator,Undirected,1
addo,index,Undirected,1
addo,ludouicus,Undirected,1
addo,bolognini,Undirected,1
addo,recognitus,Undirected,1
casus1,bernardus,Undirected,1
casus1,glossator,Undirected,1
casus1,index,Undirected,1
casus1,ludouicus,Undirected,1
casus1,bolognini,Undirected,1
casus1,recognitus,Undirected,1
bernardus,glossator,Undirected,1
bernardus,index,Undirected,1
bernardus,ludouicus,Undirected,1
bernardus,bolognini,Undirected,1
bernardus,recognitus,Undirected,1
glossator,index,Undirected,1
glossator,ludouicus,Undirected,1
glossator,bolognini,Undirected,1
glossator,recognitus,Undirected,1
index,ludouicus,Undirected,1
index,bolognini,Undirected,1
index,recognitus,Undirected,1
ludouicus,bolognini,Undirected,1
ludouicus,recognitus,Undirected,1
bolognini,recognitus,Undirected,1
decretum,argumentum,Undirected,1
decretum,plenus,Undirected,1
decretum,decretum,Undirected,1
decretum,omne,Undirected,2
decretum,contineo,Undirected,2
decretum,abundus,Undirected,2
decretum,complector,Undirected,2
decretum,gratianus,Undirected,2
decretum,nec,Undirected,2
decretum,non,Undirected,2
decretum,divisio,Undirected,2
argumentum,plenus,Undirected,1
argumentum,decretum,Undirected,1
argumentum,omne,Undirected,1
argumentum,contineo,Undirected,1
argumentum,abundus,Undirected,1
argumentum,complector,Undirected,1
argumentum,gratianus,Undirected,1
argumentum,nec,Undirected,1
argumentum,non,Undirected,1
argumentum,divisio,Undirected,1
argumentum,dominus,Undirected,1
plenus,decretum,Undirected,1
plenus,omne,Undirected,1
plenus,contineo,Undirected,1
plenus,abundus,Undirected,1
plenus,complector,Undirected,1
plenus,gratianus,Undirected,1
plenus,nec,Undirected,1
plenus,non,Undirected,1
plenus,divisio,Undirected,1
plenus,dominus,Undirected,1
