logFile 75
This log file was created on 08/22/2017, 14:23:47
['dilucidus', 'patrepater']
['dilucidus', 'explanatio']
['concordatum', 'tractatus']
['concordatum', 'sanctissimus']
['dominus', 'sanctissimus']
['dominus', 'noster']
['noster', 'papa']
['leo', 'papa']
['decum', 'leo']
['decum', 'sedes']
['apostolicus', 'sedes']
['apostolicus', 'editus']
['beneficium', 'praxis']
['commentarium', 'digestum']
['digestum', 'vetus']
['codex', 'vetus']
['commentarium', 'jus']
['civilis', 'jus']
['fasciculus', 'tempus']
['consilium', 'res']
['res', 'summa']
['locupletissimus', 'summa']
['index', 'locupletissimus']
['illustratus', 'index']
['consilium', 'responsum']
['jus', 'responsum']
['decretale', 'tractatus']
['acquirere', 'praelectio']
['acquirere', 'possessio']
['possessio', 'usucapio']
['usucapio', 'verbum']
['obligatio', 'verbum']
['omnis', 'opus']
['consilium', 'responsum']
['successio', 'tractatus']

Tokens:
659
