Source,Target,Weight
female,god,1
female,blessed,1
created,god,2
created,blessed,1
blessed,god,1
blessed,said,1
blessed,unto,1
god,unto,1
said,unto,1
said,fruitful,1
said,multiply,1
unto,fruitful,1
unto,multiply,1
unto,replenish,1
fruitful,replenish,1
fruitful,earth,1
multiply,replenish,1
multiply,subdue,1
replenish,earth,1
replenish,subdue,1
replenish,dominion,1
earth,subdue,1
earth,dominion,1
earth,fish,1
subdue,dominion,1
subdue,fish,1
subdue,sea,1
sea,living,1
fowl,living,1
fowl,thing,2
air,living,1
air,thing,2
air,moveth,1
living,thing,1
living,earth,1
thing,moveth,1
moveth,earth,1
moveth,god,1
moveth,said,1
earth,said,1
earth,behold,1
god,behold,2
god,given,1
said,behold,1
said,given,1
said,herb,1
behold,given,1
behold,herb,1
behold,bearing,1
given,herb,2
given,bearing,1
given,seed,1
herb,bearing,1
herb,face,1
bearing,seed,1
bearing,face,1
bearing,earth,1
seed,face,1
face,earth,1
face,tree,1
face,fruit,1
earth,tree,2
earth,fruit,1
tree,tree,1
tree,shall,1
yielding,shall,1
yielding,meat,1
seed,shall,1
seed,meat,1
seed,beast,1
shall,meat,1
shall,beast,1
shall,earth,1
meat,beast,1
meat,earth,1
meat,fowl,1
beast,fowl,1
beast,air,1
earth,fowl,1
earth,air,1
fowl,creepeth,1
air,creepeth,1
thing,life,1
creepeth,life,1
creepeth,given,1
earth,life,1
earth,given,1
earth,green,1
life,given,1
life,green,1
life,herb,1
given,green,1
given,meat,1
green,herb,1
green,meat,1
green,god,1
herb,meat,1
herb,god,1
herb,saw,1
meat,god,1
meat,saw,1
meat,thing,1
god,thing,1
saw,thing,1
saw,behold,1
thing,behold,1
thing,good,1
thing,evening,1
behold,good,1
behold,evening,1
behold,morning,1
good,sixth,1
evening,sixth,1
morning,sixth,1
sixth,day,1
