Source,Target,Type,Weight
quotidia,usuvenientia,Undirected,1
locus,novus,Undirected,1
primus,vulgo,Undirected,1
dominus,noster,Undirected,1
decretum,glossa,Undirected,2
accuratissimus,jus,Undirected,1
jus,opinio,Undirected,1
canonicus,emendatus,Undirected,1
codex,collatio,Undirected,1
consilium,jus,Undirected,2
memorabilis,verbum,Undirected,1
imperium,mos,Undirected,1
consiliarius,regius,Undirected,1
summum,tribunal,Undirected,1
clarissimus,germania,Undirected,1
concordatum,sanctissimus,Undirected,1
methodica,tyronis,Undirected,1
abschied,reich,Undirected,1
codex,vetus,Undirected,2
res,summa,Undirected,1
diligentissimus,scriptus,Undirected,1
regius,vismariensis,Undirected,1
annotatio,antiquus,Undirected,1
adjectus,litera,Undirected,1
lux,plurimum,Undirected,1
responsum,utriusque,Undirected,1
petr_greg_tholosani,universus,Undirected,1
constitutio,imperialis,Undirected,1
acquirere,possessio,Undirected,1
collectus,relatus,Undirected,1
actum,sache,Undirected,1
acquirere,praelectio,Undirected,1
heilig,schrift,Undirected,1
decretale,nota,Undirected,1
novus,vocare,Undirected,1
feudum,usus,Undirected,2
communis,regius,Undirected,1
opus,totus,Undirected,1
diligentissimus,fides,Undirected,1
accedere,"thoma_grammaticus,",Undirected,1
necessarius,utilis,Undirected,1
codex,ingenuus,Undirected,1
collectus,consiliarius,Undirected,1
divinus,responsum,Undirected,1
authenticus,enucleatissimus,Undirected,1
abschied,reichstag,Undirected,1
arcidiaconus,dominus,Undirected,1
angelo_politiano,auctor,Undirected,1
judicium,liber,Undirected,1
index,res,Undirected,1
doctor,magister,Undirected,1
camera,imperialis,Undirected,3
apparatus,decretum,Undirected,1
decretale,res,Undirected,1
opus,prodire,Undirected,1
boerius,consilium,Undirected,1
editio,imperium,Undirected,1
diligentia,singularus,Undirected,1
ingenuus,manumissio,Undirected,1
feudalis,varius,Undirected,1
authoritas,ioan_montani,Undirected,1
civilis,digestum,Undirected,1
accedo,quotidia,Undirected,1
explico,totius,Undirected,1
jus,justinianus,Undirected,1
complecto,materia,Undirected,1
opus,praefatio,Undirected,1
decisio,pedemontanus,Undirected,1
conclusio,enchiridion,Undirected,1
addere,canon,Undirected,1
jus,plerus,Undirected,1
digestum,vulgo,Undirected,1
auditor,rota,Undirected,1
additus,casus,Undirected,1
alius,causa,Undirected,1
complecto,continere,Undirected,1
divus,gratianus,Undirected,1
abschied,anfang,Undirected,1
doctor,lex,Undirected,1
accessio,adornatus,Undirected,1
collectus,diligentissimus,Undirected,1
glossa,novum,Undirected,1
alt,schrift,Undirected,1
collectus,matthaeo_de_afflictis,Undirected,1
cameralis,ordinatio,Undirected,2
collectus,judicium,Undirected,1
conjectura,jus,Undirected,1
causa,diffinitio,Undirected,1
alberti_de_gandino,contractus,Undirected,1
recognitus,scholium,Undirected,1
forum,jus,Undirected,1
ioannis_fichard,recens,Undirected,1
pontifex,summus,Undirected,1
jus,totus,Undirected,1
camera,commissio,Undirected,1
commentatio,studiosus,Undirected,1
causa,decisio,Undirected,2
concordatum,tractatus,Undirected,1
civilis,communis,Undirected,1
additio,civitas,Undirected,1
opus,plurimum,Undirected,1
jus,regula,Undirected,1
matthaeo_de_afflictis,praedictus,Undirected,1
conscriptus,publicus,Undirected,1
additio,tractatus,Undirected,1
actio,classis,Undirected,1
accedo,illustratus,Undirected,1
magister,studiosus,Undirected,1
authenticus,habitus,Undirected,1
belangen,gebrueder,Undirected,1
cameralis,res,Undirected,1
