Source,Target,Type,Weight
totus1,summa,Undirected,2
propemodum,compendium,Undirected,1
propemodum,summa,Undirected,1
propemodum,pontifex,Undirected,1
compendium,summa,Undirected,1
compendium,pontifex,Undirected,1
compendium,decretum,Undirected,1
summa,pontifex,Undirected,1
summa,decretum,Undirected,1
summa,praejudicium,Undirected,1
pontifex,decretum,Undirected,1
pontifex,praejudicium,Undirected,1
pontifex,varius1,Undirected,1
decretum,praejudicium,Undirected,1
decretum,varius1,Undirected,1
decretum,scribo,Undirected,1
praejudicium,varius1,Undirected,1
praejudicium,scribo,Undirected,1
praejudicium,glossa,Undirected,1
varius1,scribo,Undirected,1
varius1,glossa,Undirected,1
varius1,expositio,Undirected,1
scribo,glossa,Undirected,1
scribo,expositio,Undirected,1
scribo,omne,Undirected,1
glossa,expositio,Undirected,1
glossa,omne,Undirected,1
glossa,pristinus1,Undirected,1
expositio,omne,Undirected,1
expositio,pristinus1,Undirected,1
expositio,suo,Undirected,1
omne,pristinus1,Undirected,1
omne,suo,Undirected,1
omne,nitor,Undirected,1
pristinus1,suo,Undirected,1
pristinus1,nitor,Undirected,1
pristinus1,restituo,Undirected,1
suo,nitor,Undirected,1
suo,restituo,Undirected,1
suo,fides1,Undirected,1
nitor,restituo,Undirected,1
nitor,fides1,Undirected,1
nitor,vetus,Undirected,1
restituo,fides1,Undirected,1
restituo,vetus,Undirected,1
restituo,codex,Undirected,1
fides1,vetus,Undirected,1
fides1,codex,Undirected,1
vetus,codex,Undirected,2
syntagma,jus,Undirected,1
syntagma,universus,Undirected,1
syntagma,petrus,Undirected,1
jus,universus,Undirected,1
jus,petrus,Undirected,1
jus,greg,Undirected,1
universus,petrus,Undirected,1
universus,greg,Undirected,1
universus,tolosa,Undirected,1
petrus,greg,Undirected,1
petrus,tolosa,Undirected,1
greg,tolosa,Undirected,1
uocabularius,utriusque,Undirected,1
uocabularius,jus,Undirected,1
decisio,diffinitiones,Undirected,1
decisio,causa,Undirected,2
decisio,perusina,Undirected,1
diffinitiones,causa,Undirected,1
diffinitiones,perusina,Undirected,1
diffinitiones,provincialis,Undirected,1
causa,perusina,Undirected,1
causa,provincialis,Undirected,1
causa,umbria,Undirected,1
perusina,provincialis,Undirected,1
perusina,umbria,Undirected,1
provincialis,umbria,Undirected,1
practicus,criminalis,Undirected,1
decisio,dominus,Undirected,1
decisio,roto,Undirected,1
dominus,roto,Undirected,1
dominus,novus,Undirected,1
dominus,antiquus,Undirected,1
roto,novus,Undirected,1
roto,antiquus,Undirected,2
novus,antiquus,Undirected,2
antiquus,antiquus,Undirected,1
classis,actio,Undirected,1
consilium,summaria,Undirected,1
consilium,index,Undirected,1
responsum,summaria,Undirected,1
responsum,index,Undirected,1
responsum,locuples,Undirected,1
summaria,locuples,Undirected,1
index,locuples,Undirected,1
consilium,aureus,Undirected,1
consilium,penum,Undirected,1
consilium,divinus,Undirected,1
aureus,penum,Undirected,1
aureus,divinus,Undirected,1
aureus,responsum,Undirected,1
penum,divinus,Undirected,1
penum,responsum,Undirected,1
penum,utriusque,Undirected,1
divinus,responsum,Undirected,1
divinus,utriusque,Undirected,1
divinus,jus,Undirected,1
responsum,utriusque,Undirected,1
responsum,praxis,Undirected,1
utriusque,praxis,Undirected,1
utriusque,ambiguitas,Undirected,1
jus,praxis,Undirected,1
jus,ambiguitas,Undirected,1
jus,explico,Undirected,1
praxis,ambiguitas,Undirected,1
praxis,explico,Undirected,1
praxis,totus1,Undirected,1
ambiguitas,explico,Undirected,1
ambiguitas,totus1,Undirected,1
ambiguitas,respublica,Undirected,1
explico,totus1,Undirected,1
explico,respublica,Undirected,1
explico,summa,Undirected,1
totus1,respublica,Undirected,1
totus1,gratia,Undirected,1
respublica,summa,Undirected,1
respublica,gratia,Undirected,1
respublica,determinare,Undirected,1
summa,gratia,Undirected,1
summa,determinare,Undirected,1
gratia,determinare,Undirected,1
tractatus,feudalis,Undirected,1
decisio,alius2,Undirected,1
decisio,auditor,Undirected,1
causa,alius2,Undirected,1
causa,auditor,Undirected,1
causa,rota,Undirected,1
alius2,auditor,Undirected,1
alius2,rota,Undirected,1
alius2,sacro,Undirected,1
auditor,rota,Undirected,1
auditor,sacro,Undirected,1
auditor,palatium,Undirected,1
rota,sacro,Undirected,1
rota,palatium,Undirected,1
rota,refero,Undirected,1
sacro,palatium,Undirected,1
sacro,refero,Undirected,1
sacro,collectus,Undirected,1
palatium,refero,Undirected,1
palatium,collectus,Undirected,1
palatium,tres,Undirected,1
refero,collectus,Undirected,1
refero,tres,Undirected,1
refero,liber4,Undirected,1
collectus,tres,Undirected,1
collectus,liber4,Undirected,1
collectus,divido,Undirected,1
tres,liber4,Undirected,1
tres,divido,Undirected,1
liber4,divido,Undirected,1
commentaria,titulus,Undirected,1
commentaria,digestum,Undirected,1
commentaria,verbum,Undirected,1
titulus,digestum,Undirected,1
titulus,verbum,Undirected,1
titulus,res,Undirected,1
digestum,verbum,Undirected,1
digestum,res,Undirected,1
digestum,significatio,Undirected,1
verbum,res,Undirected,1
verbum,significatio,Undirected,1
res,significatio,Undirected,1
commentarius,constitutio,Undirected,1
commentarius,ordinatio,Undirected,1
commentarius,regia,Undirected,1
constitutio,ordinatio,Undirected,1
constitutio,regia,Undirected,1
constitutio,curo,Undirected,1
ordinatio,regia,Undirected,1
ordinatio,curo,Undirected,1
ordinatio,audomari_rebuffo,Undirected,1
regia,curo,Undirected,1
regia,audomari_rebuffo,Undirected,1
curo,audomari_rebuffo,Undirected,1
privilegium,immunitas,Undirected,1
privilegium,universitas,Undirected,1
privilegium,doctor,Undirected,1
immunitas,universitas,Undirected,1
