Lettere,1,lettere,1
Verum Megapolitanorum,2,verus megapolitanorum,2
De revisione,2,reuisio,1
Oeconomia forensis oder kuerzer Zubegriff,5,oeconomia forensis zubegriff,3
Decisiones cavsarvm rotae Bononiensis... sub annis 1540. 1541. 1542. 1543. 1544 & 1545 [ed.=Benintendi],14,decisio causa rota bononiensis annus edbenintendi,6
Consiliorum sive Responsorum,3,consilium responsum,2
De jure primogeniturae,3,jus primogenitura,2
De jure connubii,3,jus conubium,2
Versuch einer ausfuehrlichen Erklaerung des Post-Regals,6,uersuch ausführlich erklaerung regal,4
Geschichtsregister der unmittelbaren Ritterschaft Landts zu Franken... Werra,8,geschichtsregister unmittelbar ritterschaft land franc werra,6
Geschlechts-Register Der Reichs-Frey-unmittelbaren Ritterschafft Landes zu Francken Löblichen Orts-Gebürg,9,geschlecht register reich frei unmittelbar ritterschaft land franc löblich ort gebürg,11
Pharmacopoea Wirtenbergica,2,pharmacopoea wirtembergensis,2
"""De formulæ """"regnante Christo"""" in veterum monumentis usu... diatribe""",9,formular regno christus vetus monumentum usus diatriba,7
"""Decisiones Burdegalenses... Quibus nunc demum accessere eiusdem Boerij Consilia, Tractatus de seditiosis, De custodia clauium portarum ciuitatis, item Additiones in tractatum Ioan. Montani de authoritate magni consilij...""",27,decisio burdegalenses nunc accedo boerii consilium tractatus seditiosus custodia clauis porta civitas additio tractatus iohannis montanus1 authoritas magnus consilium,19
Element jurisprudentiae criminalis,3,element iurisprudentia criminalis,3
Meditationes in constitutionem criminalem Carol[I V],6,meditatio constitutio criminalis carolus,4
Observationes Selectae Ad Bened. Carpzovii Practicam Novam Rerum Criminalium Imperialem Saxonicam : ... accessit index locupletissimus,16,obseruatio selectus benedictinus carpzov practicus novus res criminalis imperium saxonicus accedo index locuples,13
Consultationum et Decisionum,3,consultatio decisio,2
Doctrina de actionibus,3,doctrina actio,2
Introductio in jus digestorum,4,introductio jus digestum,3
Ocaeres,1,ocaeres,1
Romanae urbis topographia,3,roma urbs topographia,3
"""Enantiophanon centuriae sex, et conciliationes eorundem""",6,enantiophano centuria sex conciliatio,4
Antiquitates Fuld[enses],2,antiquitas fuldenses,2
Commentariis in Codicem Justinianeum,4,commentarius codex justinianus,3
Commentariis in Pandectas,3,commentarius pandectae,2
"""Repertorivm Reale Pragmaticvm Ivris Pvblici Et Fevdalis Imperii Romano-Germanici, Oder des Heil. Röm. Reichs Staats- und Lehn-Recht : zugleich... eine... Bibliotheca Iuris Publici Et Feudalis""",25,repertorium reale pragmaticus jus publicus feudum imperium romanus german* heilig roma reich staat lehen recht bibliotheca,16
"""Behauptete Vorrechte derer alten ko¨niglichen Bann-Forste, insbesondere des Reichslehenbaren Forst- und Wild-Banns zu der Drey-Eich""",15,behaupten uorrechte alt könig bann forst insbesondere reich lehen forum wild bann eich,13
Medulla lexici juridici,3,medulla lexicon juridicus,3
Actiones antiquae sive Thesaurum monum. Ecclesiast.,6,actio antiquus thesaurus monum ecclesia,5
Collectionis notabilium decisionum,3,collectio notabilis decisio,3
Practicae novae imperialis saxonicae rerum criminalium,6,practicus novus imperium saxonicus res criminalis,6
Jurisprudentia ecclesiastica s. consistorialis definitiones exhibens,6,iurisprudentia ecclesiastes consistorial definitio exhibeo,5
Consilia,1,consilium,1
Corpus juris canonici academicum,4,corpus jus canonicus academicus,4
Prima linea jurisprudentiae extrajudicialis,4,primus linea iurisprudentia extraiudicialis,4
Opera (Receptarvm sententiarvm Opera omnia,5,opus1 receptarum sententia omne,4
Canones Apostolorum. Veterum conciliorum constitutiones. Decreta pontificum antiquiora. De primatu Romanæ ecclesiæ,12,canon apostolicus vetus concilium constitutio decretum pontifex antiquus primatus roma ecclesiastia,11
Decisiones Capelle [Decisiones capelle sedis archiepiscopalis Tholose],7,decisio capelle sedes archiepiscopalis tolosa,5
Corpus Juris Publici,3,corpus jus publicus,3
Opera omnia,2,opus1 omne,2
Wetzlarische Nebenstunden,2,wetzlar nebenstunde,2
"""Operum postumorum, quae de jure reliquit""",6,opus1 postumus jus relinquo,4
"""Operum, quae de jure fecit tam eorum eo superstite, quam quae post obitum ejusdem jussu edita sunt""",17,opus1 jus facio super-sto obeo jubeo editus,7
Tractatus de jure Connubiorum,4,tractatus jus conubium,3
De pace Imperii publica,4,pax imperium publicus,3
Disquisitionum magicarum,2,disquisitio magice,2
Miscellanea scriptorum vniuersi iuris civilis duobus tomis distincta,8,miscellaneum scriptor universus jus civilis1 duo tome distinguo,8
Jus camerale,2,jus cameralis,2
"""Bibliotheca Classica, Sive Catalogus Officinalis""",5,bibliotheca classicus catalogus officinalis,4
Glossarium ad scriptores mediæ & infimæ Latinitatis,7,glossa scriptor mediæ infimæ latinitas,5
Diarii Europaei Insertis Actis Publicis. Das ist: Täglicher Geschichts-Erzehlungen...,9,diarius europa insero2 actum publicus täglich geschichte erzähhlung,8
Elementa juris criminalis Germanico Carolini,5,elementum jus criminalis german* carolus,5
Erdbeschreibung der Hessischen Lande Casselische Antheils,6,erdbeschreibung hesse land cassel anteil,5
Europ. Staats Kanzlei,3,europa staat kanzlei,3
Neue Europaeische Staatscanzley,3,europa staat kanzlei,3
Consilia,1,consilium,1
"""Consiliorum sive responsorum crimilaium continuatio sive liber secundus: Cui accesserunt resolutiones criminales sive capitales sexagintae duae Hieronymi de Felericis, &c.""",20,consilium responsum criminalis continuatio liber4 secundus1 accedo resolutio criminalis capitalis sexagintae duo hieronymus felericis,14
Decisiones criminales S. rotae Romanae CCCLXXII Criminum & testium probationem in secundo praesertim respondorum criminalium...,15,decisio criminalis rota roma ccclxxii crimen testis1 probatio secundus1 praesertim responsum criminalis,12
Fragmenta criminal.,2,fragmentum criminalis,2
Opera criminalium,2,opus1 criminalis,2
Grafschaften Solms und Herrschaft Mintzenburg Gerichts Ordnung und Landrecht,9,graf solms herrschaft münzenberg gericht ordnung land recht,8
Solmsische Landes Ordnung,3,solms land ordnung,3
Stadt Frankfurt Reformation,3,stadt frankfurt reformatio,3
"""Tractatvs Cavtelarvm Avctoribvs Atqve Collectoribvs Infra Scriptis, Bartolomaeo Caepolla Veronense, Thoma Ferratio de Advocatis, Brixiense, Ioanne de Arnono Salernitano, Ioanne Dilecto Dvrante Gvaltense, M. Antonio Blanco Patavino, Raimundo Pio Fichardo Francofortense ... Opvs Iureconsvltis, Potissimvm Avtem Advocatis...""",37,tractatus cautelis auctor collector scriptus bartolomaeus caepolla ueronense thoma ferratio advoco brixiensis iohannis arnono salernitano diligo duro gualtensis antonio blancus patauino raimundo pius fichard frankfurt opus1 iurisconsultus volo1 potis,29
"""Thesaurus Communium Opinionum Et Conclusionum Sive Receptarum Sententiarum, Excellentium Utriusque Iurisconsultorum, super causis tam Criminalibus quam Civilib. continens omnes omnium huis argumenti adhuc editas lucubrationes""",25,thesaurus communis opinio conclusio receptarum sententia excello utriusque jurisconsultus causa criminalis civilis1 contineo omne omne huis argumentum adhuc editus lucubratio,20
"""Wetzlarische Practicant oder Anweisung, wie und auf was Art ein auswärtiger Jurist und Practicus sich den Reichs-Cammer-Gerichtlichen Process am leichtesten vorstellen könne?""",22,wetzlar practicus anweisung art auswärtig jus practicus reich cammer gerichtlich processus2 leichteste uorstelle könne,14
Einleitung zum geistlichen Recht,4,einleitung geistlich recht,3
Weekely Journal,2,weekely journal,2
"""De feudis commentarius perelegans. Item Petri de Bella Pertica Jurisconsultorum Gallorum vetustissimi. Accedit De lege Salica commentariolus Johannis Pyrrhi Englebermaei, Antecessoris Aurelian""",22,feudum commentarius perelego petrus bellus pertica jurisconsultus gallus1 vetustus accedo lex salica commentarius iohannis pyrrhi englebermaei antecessoris aurelia,18
In sextum decretalium librum commentarii,5,sextus1 decretales liber4 commentarius,4
System einer vollständigen medicinischen Polizey,5,vollständig medicinisch polizei,3
Commentarii feudales,2,commentarius feudum,2
Corpus juris civilis academicum Ant Christ Henrici Fenins [],9,corpus jus civilis1 academicus ant christus henricus fenins,8
"""Corpus Iuris Venatorio-Forestalis, Romano-Germanici : Tripartitum ... Ultra duos Tractatus Venationi affines, Varia serius Transmissorum complectens ; Opus Tam in Aulis Principum, quam in Foro perquam utile...""",27,corpus jus venatorius forestalis romanus german* tripartus ulter duo tractatus venatio affinis varius1 serus transmissorum complector opus1 aulus1 princeps forum perquam utile,22
Communes conclusiones : in 7 libr. Distributae,7,communis conclusio liber4 distribuo,4
Practicae observationes,2,practicus obseruatio,2
Introductio ad praxin cameralem,4,introductio praxis cammer,3
"""Privilegia, des Heyligen Reichs Statt Franckfurt am Mayn. Auch etliche nicht wenige fürtreffliche Keyserliche vnd Königliche Begnadigungen, Immuniteten vnd Freyheiten. Sampt der Golden Bullen in Lateinischer Spraach, wie dieselbige auß dem rechten Franckfurtischen Original genommen; Abschieds-Puncten zwischen ... Rath u. Bürgersch. d. St. Frankfurt ...; Gravamina der Statt Wetzflar ...; Consilia; Matrimonialium Cau. tractatus ...; Juden zu Franckfurt Stättigkeit u. Ordnung""",61,privilegium heilig reich frankfurt may etliche fürtrefflich kaiser könig begnadigung immunitete frei sammt golden bull latein sprache diesselbige recht frankfurt original genommen abschied punct rat burgersch st frankfurt grauamina wetzlar consilium matrimonialia causa tractatus iudaeus stättigkeit ordnung,37
