"""Merycologia, sive, De Ruminantibus et Ruminatione Commentarius""",7,merycologia rumino ruminatio commentarius,4
Dissertationes Historicae Variorum Monasteriorum,4,dissertatio historicus varius1 monasterium,4
Augiae Papatus Stabulum Herculis Christiani Divi Martini Lutheri Laboribus Repurgatum,10,augiae papa stabulum herculis christianus divus martinus luther labor2 repurgare,10
Historischer Bericht von dem Marianisch-Teutschen Ritter-orden,6,historischer bericht marianisch deutsch ritter orde,6
Sylloge Genealogico-Historica,2,sylloge genealogicus historicus,3
Helvetia Antiqua et Nova,4,heluetia antiquus novus,3
Religiosae Kijovienses Cryptae,3,religio kiiouienses crypta,3
"""Benno, Episcopus Olim Misenensis""",4,benno episcopus olim misenensis,4
Incerti Poetae Teutonici Rhythmus de Sancto Anmone Colan,8,incertus poeta teutonicus rhythmus sancio anmone colo2,7
Elegidia et Poematia Epidictica,4,elegidion poematium epidictica,3
Dialogus De Praestantia Virorum Sui Aevi,6,dialogus praesto2 vir aevum,4
"""Eigentlicher und Gründlicher Bericht, Dessen Was zu einer volkommenen Erkantnuß deß Hochlöblichen, Ritterlichen Ordens, S. Johannis von Jerusalem zu Malta""",20,eigentlicher gründlich bericht vollkommen erkenntnis dess hochloblich ritter orden iohannis ierusalem malta,12
Vom Urpsrung der alten löblichen Universität Heidelberg,7,ursprung alt löblich uniuersität heidelberg,5
"""Quaestura, In qua Vita Ciceronis Refertur""",6,quaestura uita cicero refero,4
De Republica Hebraeorum,3,respublica hebraeus,2
Antiquitates Ecclesiae Orientalis,3,antiquitas ecclesia orientalis,3
Disceptatio de Lusu Aleae,4,disceptatio ludo alea,3
Hungaria Illustrata,2,hungaria illustratio,2
Auriaco-Nassovia Domus,2,auriaco nassau domus,3
Campania,1,campanus,1
Coelum Stellatum,2,coelum stello,2
Der Sächsischen Stamm-Mutter Margarethen,4,sachsisch stamm mutter margarethe,4
Discours von Erfindung der löblichen Buchdruckerkunst in Teutschland,8,discours erfindung löblich buchdruckerkun deutschland,5
De Diabete Dissertatio,3,diabete dissertatio,2
De Vulneribus Sclopetorum Tractatus,4,vulnus sclopetorum tractatus,3
De Febre Purpurea,3,febris purpureus,2
"""Umbra in Luce, Consensus et Dissensus Religionum Profanarum""",8,umbro luceo consentio dissentio religio profanus,6
"""Oratio, De Vetustissimo Wirtembergensis Ducatus Oppida Calva""",7,oratio vetustus wirtembergensis ducatus oppidum calvus1,6
"""Super Poetis Latinis, Nov-Antiquis, Censura""",5,poeta latinus nou antiquus censeo1,5
De Casei Nequitia,3,caseus nequitia,2
De Asini Lana Satyricon,4,asinus lana satyricus1,3
De Bona Mente Oratio,4,bonus mens oratio,3
Polonia,1,polonia,1
De Curandis Vulneribus,3,curo vulnus,2
Vita Clavdii Galeni,3,uita claudius galeni,3
Clavdii Galeni Chronologicum Elogium,4,claudius galeni chronologia elogium,4
De Theriaca et Mithridatio,4,theriaca mithridatio,2
Von Denen Wütenden Hundsbissen,4,wütend hundsbisse,2
Türcken Büchlein,2,turcus büchlein,2
Beht-Buss-Sturm und Türken-Glokke,3,beten büssen sturm turcus glocke,5
Wolmeinendes Bedencken,2,wolmeinend bedenken,2
Gnadenschatz des heiligen Rosencrantzes,4,gnade schatz heilig rosencrantz,4
Academia Universalis Philadelphica,3,academia universalis philadelphica,3
Praxis Chirurgica Rationalis,3,praxis chirurgica ratio,3
Medicus Peccans,2,medicus pecco,2
Prophylaxis circa Praesentem et Futurum Sanitatis Statum,7,prophylaxis circa praesens sanitas status,5
Affectionum Qua Discuntur Hystericae et Hypochondriacae Pathologia Spasmodica Vindicata,9,affectio disco hystericae hypochondriacae pathologia spasmodica vindico,7
Historia Von Francisco Spiera,4,historia francisco spiera,3
Criticorum Sacrorum,2,criticus sacer,2
Disquisitio de Chirothecarum Usu et Abusu,6,disquisitio chirotheca usus abusus,4
De Vita Pythagorica,3,uita pythagoricus,2
Prudentia Civilis et Peritiae Rei Militaris Exemplar: Vita Jephtae,9,prudens civilis1 peritia res militaris exemplar uita iephtae,8
Epistolae Omnes,2,epistula omne,2
Fasciculus Rerum Expetendarum et Fugiendarum,5,fasciculus res expeto fugere,4
Clarorum Vivorum ad Eum Epistolae,5,clarus vivus epistula,3
Atlantica,1,atlanticus,1
Commentariorum De Rebus Suecicis,4,commentarius res suecicis,3
Commentariis et Notae Criticae in Vetus Testamentum,7,commentarius nosco criticus vetus testamentum,5
De Naxera Toletani: Excursus Morales in Librum Primum Regum,9,naxera toletani excurro moralis liber4 primus rex,7
Geographia Ordine Litterarum Disposita,4,geographia ordo littera dispono,4
Antiquitatum et Annalium Trevirensium,4,antiquitas annalis treuirensium,3
Rerum Germanicarum,2,res german*,2
La Sainte Bible,3,sainte biblia,2
Gesta Pontificum Romanorum,3,gestum pontifex roma,3
Commentarii Litterales ac Morales in Librum Judicum Tomus Secundus et Tertius,11,commentarius littera moralis liber4 judex tomus secundus1 tertius,8
Opera Castigata et Restituta,4,opus1 castigo restituo,3
Verwerd Europa,2,uerwerd europa,2
Delectus Consiliorum Exoticorum,3,deligo1 consilium exoticus,3
Disquisitio Juris Publici De Bonis Ecclesiasticis,6,disquisitio jus publicus bonus ecclesiastes,5
Differentiae Juris Civilis et Reformationis Francofurtensis,6,differentia jus civilis1 reformatio frankfurt,5
Decisionum Illustrium Saxonicarum Synopsis,4,decisio illustris saxonicus synopsis,4
Definitionum Forensium ad Constitution,4,definitio forensis constitutio,3
Inventarium Templorum,2,inventarium templum,2
Processus Juris Judicii Provincialis Sueviae,5,processus2 jus judicium provincialis sueuici,5
Kreutterbuch,1,kreutterbuch,1
Teutsch Bibel,2,deutsch biblia,2
Historia Mundi Naturalis,3,historia mundus natura,3
Lexicon Juridicum,2,lexicon juridicus,2
Opera,1,opus1,1
Syntagma Juris Universi,3,syntagma jus universus,3
Opera,1,opus1,1
Encomium Invidiae,2,encomium invidia,2
Historiarum Sui Temporis: Opera,4,historia tempus opus1,3
Epitome Adagiorum,2,epitome adagium,2
Polymnemon: Seu Florilegium Locorum Communium,5,polymnemo florilegium locus communis,4
Historia Ecclesiastica: Magdeburg Centuries,4,historia ecclesiastes magdeburg centuries,4
"""Theatrum Europaeum (Partes I, II, IV, VI)""",7,theatrum europa pars vis,4
Von den Ursachen des Teutschen Kriegs Kaiser,7,ursache deutsch krieg kaiser,4
Hieroglyphica: De Sacris Aegyptiorum,4,hieroglyphica sacer aegyptus,3
Chronicon Alsatiae,2,chronicon alsatia,2
Der Statt Wormbs Reformation,4,worms reformatio,2
Platonis Opera,2,plato opus1,2
Rerum Germanicarum,2,res german*,2
Germanicarum Rerum Scriptores,3,german* res scriptor,3
Veterum Scriptorum,2,vetus scriptor,2
Rerum Alamannicarum Scriptores,3,res alemanni scriptor,3
Rerum Gallicarum Annales,3,res gallica annalis,3
Requies Justi,2,requies justus,2
Ecclesiastes: Der Prediger Salomo,4,ecclesiastes predigt salomo,3
Germaniae Exegeseos,2,german* exegeseos,2
Chronicon Insigne Monasterii Hirsaugiensis,4,chronicon insigne monasterium hirsaugiensis,4
Der Statt Frankfurt am mayn Erneuwerte Reformation,7,frankfurt may erneuert reformatio,4
Grundtliche Untterrichtung eins Erborn Rats der Statt Nürmberg,8,gründlich untterrichtung erbor rat nürnberg,5
Vier Bücher der Ritterschaft,4,buch ritterschaft,2
"""Officia Ciceronis, Teutsch""",3,officium cicero deutsch,3
Die Vier Bücher Sexti Julii Frontini,6,buch sextus1 iulius frontinus,4
"""Eines Ehrsamen Raths deß Heyl. Reichs-Stadt Augspurg, Erneuertes Statutum und Ordnung""",11,ehrsam rat dess heilig reich stadt augsburg erneuert statutum ordnung,10
Statuta Venetorum,2,statutum uenetae,2
Statuten der loblichen Statt Freiburg im Preißgow gelegen,8,statutum löblich freiburg breisgau gelegen,5
Das Buch des Heiligen Römischen Reichs Unterhaltung,7,buch heilig roma reich unterhaltung,5
Discursus et Vera Architecturae Militaris Praxis,6,discursus2 verus architectura militaris praxis,5
Provinciarum Europae Geographica Descriptio,4,provincialis europa geographia descriptio,4
De Fluxu et Refluxu Aequae Maris,6,fluo refluxus aequus mare,4
Bambergische Peinliche Halßgerichtßordnung,3,bamberg peinlich halßgerichtßordnung,3
Moguntiacarum Rerum,2,mainz res,2
Diarium Europaeum,2,diarium europa,2
Conciliatio Cunctarum Legum,3,conciliatio cunctus lex,3
Controversiae Juris,2,controversia jus,2
Oeconomia Practica Juris Universi Civilis,5,oeconomia practicus jus universus civilis1,5
Practicarum Juris Observationum,3,practicus jus obseruatio,3
Semestrium Editio III,3,semestrium editio iii,3
Observationes Forenses,2,obseruatio forensis,2
Commentarius de Differentiis Juris Omnibus,5,commentarius differentia jus omne,4
Commentarius in VII Juris Civilis Difficillimas Leges,7,commentarius jus civilis1 difficilis lex,5
Controversia Ferrariensis,2,controversia ferrariensis,2
"""Ex Variorum Ictorum Singularibus Observationibus, Practicis, Responsis, Consiliis, et Praejudiciis Collegiorum Juridicorum""",12,varius1 ictorum singularis obseruatio practicus responsum consilium praejudicium collegium iuridicus,10
Postillae Evangelicae,2,postilla euangelistus,2
Postilla Epistolica,2,postilla epistolicus,2
Göttliche Buß-Posaun,2,göttlich büssen posau,3
Lutherus Redivivus,2,luther rediuiuus,2
Onomasticon Theologicum,2,onomastico theologia,2
Spicilegium Sacrum,2,spicilegium sacer,2
Kirchen-Postill,1,kirche postilla,2
